迈克尔杰克逊	3026
艾玛·沃特森	3025
董璇	3021
赵寅成	3013
徐珠贤	3005
朴施厚	2986
桂纶镁	2979
薛佳凝	2979
张钰琪	2977
钟欣桐	2961
尚雯婕	2957
张杨果而	2940
于朦胧	2939
巩俐	2934
金钟仁	2929
吉克隽逸	2924
徐小凤	2920
郑恩地	2907
宋轶	2902
盖尔·加朵	2901
黄誉博	2899
王晶	2898
邬君梅	2895
李多海	2887
乔任梁	2870
黄海冰	2867
范·迪塞尔	2858
钟楚红	2850
童菲	2827
蔡文静	2818
朴孝敏	2808
戚迹	2807
阎维文	2806
闫妮	2798
郭妃丽	2790
叶一茜	2786
金有贞	2766
李湘	2755
宁静	2754
泰莎昂·派索克乔纶	2750
锦荣	2742
瞿颖	2726
李健	2720
童可可	2712
杰西卡·阿尔芭	2702
蔡琳	2694
钱小豪	2690
谭维维	2687
任重	2685
刘品言	2684
弦子	2683
朴敏英	2679
钟嘉欣	2678
李嘉欣	2674
万绮雯	2672
小栗旬	2672
田亮	2671
孙小宝	2669
范玮琪	2667
莫文蔚	2651
高露	2643
梁静茹	2636
新垣结衣	2635
田雨橙	2631
渡边麻友	2630
张家辉	2627
白庆琳	2627
陈雅伦	2623
吴大伟	2616
孙娜恩	2616
徐若瑄	2616
郭采洁	2613
郭采潔	2613
焦俊艳	2604
金明洙	2603
河智苑	2600
许巍	2594
金在中	2589
王志文	2584
小仓优子	2578
李维嘉	2563
王煜	2563
张雨生	2562
黄圣依	2561
孟庭苇	2560
郭麒麟	2552
韩孝珠	2544
金贤重	2543
谭咏麟	2541
迟志强	2536
徐子珊	2527
张贤胜	2525
迈克尔·杰克逊	2518
刘晓洁	2503
长野博	2498
蒋勤勤	2494
玄彬	2486
金莎	2470
陈道明	2461
窦唯	2457
胡定欣	2456
莱昂纳多·迪卡普里奥	2453
郭晓婷	2443
陈娅安	2435
东永裴	2434
何洁	2422
高俊熙	2422
李宗盛	2421
凯特·戴琳斯	2414
李智恩	2414
王珞丹	2401
郑少秋	2401
闫学晶	2401
何润东	2399
黄星羱	2393
张钧甯	2392
任言恺	2388
徐正曦	2382
尹恩惠	2381
李弘基	2377
张蓝心	2375
高云翔	2369
克里斯·埃文斯	2365
金正恩	2361
佟大为	2354
徐良	2346
姚芊羽	2340
张惠妹	2336
黎明	2336
都暻秀	2331
韩彩英	2329
李宗翰	2326
吴佩慈	2319
赛琳娜·戈麦斯	2314
叶子楣	2311
徐海乔	2309
叶倩文	2308
黄奕	2307
明道	2301
韩庚	2300
许冠杰	2293
黄美英	2288
修杰楷	2286
张智霖	2279
小罗伯特·唐尼	2256
白客	2256
饭岛爱	2255
董子健	2253
叶童	2234
汪苏泷	2233
谢依霖	2207
黄秋生	2207
李雪健	2204
李光洁	2191
